id,name,price,duration,data,minutes,sms,features,popular
MF_17249,MagentaMobil Basic,24.95,monthly,5GB,unlimited,unlimited,EU roaming;5G;HotSpot Flat;VoLTE;Wi-Fi Calling;Cashback,True
MF_17251,MagentaMobil Basic mit Smartphone,34.95,monthly,5GB,unlimited,unlimited,EU roaming;5G;HotSpot Flat;VoLTE;Wi-Fi Calling;Cashback,True
MF_17252,MagentaMobil Basic mit Top-Smartphone,44.95,monthly,5GB,unlimited,unlimited,EU roaming;5G;HotSpot Flat;VoLTE;Wi-Fi Calling;Cashback,True
MF_17253,MagentaMobil Basic mit Premium-Smartphone,54.95,monthly,5GB,unlimited,unlimited,EU roaming;5G;HotSpot Flat;VoLTE;Wi-Fi Calling;Cashback,True
MF_17254,MagentaMobil Basic mit Premium-Plus-Smartphone,64.95,monthly,5GB,unlimited,unlimited,EU roaming;5G;HotSpot Flat;VoLTE;Wi-Fi Calling;Cashback,True
